,cover_cm,water_cement_ratio,time_yrs,CorrosionLvl_Long,CorrosionLvl_Transv,First_Period_s,Steel_Strain,Conf_Conc_Strain,Unc_Conc_srain,Fy_ksi,fyt_ksi,Ast_in2,st_in,Dprime_in,PCol_kip,DCol_in,barAreaSec_in2,fc_ksi,LimitState_ConcreteCoverCrushing,ConfinementSteelYielding,LongitudinlSteelBuckling
0,4.0,0.4,5.0,1.6589481175874998,3.6775405554743608,0.3695023949008071,0.0354312,0.00897271,0.0128941,57.90972537183975,55.36629890010231,0.10679754711940724,2.0,20.662892,225.0,24.0,0.43445791523608523,6.749259022834353,0.004,0.01615770375747332,0.051183928369158235
1,4.0,0.4,10.0,2.979588265722166,6.27755080110714,0.3677194582915848,0.0354096,0.00897847,0.0128985,56.24571878519007,52.090285990605004,0.10391478521403015,2.0,20.662892,225.0,24.0,0.4286234996532449,6.616897483448156,0.004,0.015721005571127385,0.05016307922216652
2,4.0,0.4,15.0,4.081172872651173,8.43240367870655,0.36612915932019446,0.0353123,0.00896234,0.0128723,54.85772218045952,49.37517136482975,0.10152559163386256,2.0,20.662892,225.0,24.0,0.4237568428235539,6.509213048388105,0.004,0.015359096768326655,0.04935263449238078
3,4.0,0.4,20.0,5.065313262581094,10.346642600940928,0.36462629932116075,0.0353076,0.00897682,0.0128877,53.61770528914782,46.96323032281443,0.09940317882719135,2.0,20.662892,225.0,24.0,0.4194090391960329,6.415173963727819,0.004,0.015037615510194776,0.04865965137575012
4,4.0,0.4,25.0,5.971173759093262,12.099404999571727,0.36317258321405604,0.0354234,0.00902763,0.0129532,52.476321063542485,44.75474970053962,0.09745980314994646,2.0,20.662892,225.0,24.0,0.41540706590740073,6.330471030345583,0.004,0.014743266834713453,0.04804728077446144
5,4.0,0.4,30.0,6.8192382603835755,13.732214112932533,0.36174907013588764,0.0357469,0.009151,0.013116,51.407759791916696,42.697410217705006,0.09564942570291317,2.0,20.662892,225.0,24.0,0.4116604277724246,6.252824305751144,0.004,0.014469074712222417,0.047495788497229935
6,4.0,0.4,35.0,7.621962032723262,15.270391038720025,0.36034491226879684,0.0378722,0.00999316,0.0142203,50.39632783876869,40.759307291212764,0.09394397171370744,2.0,20.662892,225.0,24.0,0.40811409905247,6.18083251883268,0.004,0.014210785016450282,0.04699291789138706
7,4.0,0.4,40.0,8.387650400946157,16.730865313716514,0.35895334726923595,0.0384949,0.0102583,0.0145638,49.43156049480785,38.91910970471719,0.09232467055486972,2.0,20.662892,225.0,24.0,0.4047313879078261,6.113551601814224,0.004,0.013965553398610064,0.04653033480880487
8,4.0,0.4,45.0,9.122200760591959,18.12568836587139,0.35756993565242523,0.0393552,0.010655,0.0150715,48.50602704165413,37.161632659002045,0.09077816020313251,2.0,20.662892,225.0,24.0,0.4014862404157164,6.050304393570998,0.004,0.013731355042558215,0.04610201237003691
9,4.0,0.4,50.0,9.829996807755304,19.463839717995462,0.35619167357387715,0.0405557,0.0111272,0.0156914,47.614204022228314,35.475561955325716,0.08929448461069527,2.0,20.662892,225.0,24.0,0.3983592899796908,5.990582477350022,0.004,0.013506681226509533,0.045703392907466917
10,4.0,0.4,55.0,10.514412737116153,20.75224679233764,0.3548165018086516,0.0420678,0.0116974,0.0164455,46.75183995123365,33.85216904165457,0.08786596299668599,2.0,20.662892,225.0,24.0,0.39533562984861936,5.93399058083185,0.004,0.013290367996054132,0.045330910676698616
11,4.0,0.4,60.0,11.178118130706071,21.996402396321187,0.35344301403159817,0.0433303,0.0121806,0.0170829,45.91557115531035,32.2845329806353,0.08648650520972165,2.0,20.662892,225.0,24.0,0.39240346615796856,5.880212809954768,0.004,0.01308149242549383,0.04498170048086776
12,4.0,0.4,65.0,11.823272626578651,23.200759477759405,0.3520702736360215,0.0448608,0.0127757,0.0178657,45.102676490510895,30.767043058023148,0.08515117404297995,2.0,20.662892,225.0,24.0,0.389553257909056,5.828991001258325,0.004,0.012879306297570416,0.04465340993100414
13,4.0,0.4,70.0,12.451655746974822,24.368994713845588,0.3506976934437987,0.0461256,0.0132473,0.0184907,44.31091375881172,29.29506666055456,0.08385589297985135,2.0,20.662892,225.0,24.0,0.38677714340518327,5.780110228255422,0.004,0.012683191819122131,0.04434407314083799
14,4.0,0.4,75.0,13.06475663271448,25.50419091194158,0.3493249537191663,0.046747,0.0134626,0.0187798,43.538406642779755,27.864719450953608,0.08259724395702661,2.0,20.662892,225.0,24.0,0.3840685438168206,5.7333887462960025,0.004,0.012492630976478524,0.04405202268895933
